Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
Diffuse Lyα Emitting Halos: A Generic Property of High-redshift Star-forming Galaxies,Steidel C. | Bogosavljević M. | Shapley A. | et. al.,ApJ 736 160,2011 08,2011,arXiv:1101.2204,2011ApJ...736..160S,10.1088/0004-637X/736/2/160,{'lris': 7}
Hubble Space Telescope and Ground-based Observations of SN 1993J and SN 1998S: CNO Processing in the Progenitors,Fransson C. | Challis P. | Chevalier R. | et. al.,ApJ 622 991,2005 04,2005,arXiv:astro-ph/0409439,2005ApJ...622..991F,10.1086/426495,{'lris': 1}
The Connection between Galaxies and Intergalactic Absorption Lines at Redshift 2&lt;~z&lt;~3,Adelberger K. | Shapley A. | Steidel C. | et. al.,ApJ 629 636,2005 08,2005,arXiv:astro-ph/0505122,2005ApJ...629..636A,10.1086/431753,"{'nirspec': 20, 'lris': 3, 'esi': 2}"
Dynamical Models of Elliptical Galaxies in z=0.5 Clusters. II. Mass-to-Light Ratio Evolution without Fundamental Plane Assumptions,van der Marel R. | van Dokkum P.,ApJ 668 756,2007 10,2007,arXiv:astro-ph/0611577,2007ApJ...668..756V,10.1086/521211,{'lris': 3}
A Substantial Population of Red Galaxies at z &gt; 2: Modeling of the Spectral Energy Distributions of an Extended Sample,Förster Schreiber N. | van Dokkum P. | Franx M. | et. al.,ApJ 616 40,2004 11,2004,arXiv:astro-ph/0408077,2004ApJ...616...40F,10.1086/424838,{'nirspec': 1}
Investigating Disk Evolution: A High Spatial Resolution Mid-Infrared Survey of T Tauri Stars,McCabe C. | Ghez A. | Prato L. | et. al.,ApJ 636 932,2006 01,2006,,2006ApJ...636..932M,10.1086/498207,{}
The DEEP3 Galaxy Redshift Survey: Keck/DEIMOS Spectroscopy in the GOODS-N Field,Cooper M. | Aird J. | Coil A. | et. al.,ApJS 193 14,2011 03,2011,arXiv:1101.4018,2011ApJS..193...14C,10.1088/0067-0049/193/1/14,{'deimos': 20}
Multi-site campaign for transit timing variations of WASP-12 b: possible detection of a long-period signal of planetary origin,Maciejewski G. | Dimitrov D. | Seeliger M. | et. al.,A&A 551 A108,2013 03,2013,arXiv:1301.5976,2013A&A...551A.108M,10.1051/0004-6361/201220739,{}
Very Early Ultraviolet and Optical Observations of the Type Ia Supernova 2009ig,Foley R. | Challis P. | Filippenko A. | et. al.,ApJ 744 38,2012 01,2012,arXiv:1109.0987,2012ApJ...744...38F,10.1088/0004-637X/744/1/38,"{'deimos': 2, 'lris': 1}"
The M33 Metallicity Project: Resolving the Abundance Gradient Discrepancies in M33,Rosolowsky E. | Simon J.,ApJ 675 1213,2008 03,2008,arXiv:0711.4351,2008ApJ...675.1213R,10.1086/527407,{'lris': 3}
"HAT-P-7: A Retrograde or Polar Orbit, and a Third Body",Winn J. | Johnson J. | Albrecht S. | et. al.,ApJL 703 L99,2009 10,2009,arXiv:0908.1672,2009ApJ...703L..99W,10.1088/0004-637X/703/2/L99,{}
Carbon Stars in the Satellites and Halo of M31,Hamren K. | Beaton R. | Guhathakurta P. | et. al.,ApJ 828 15,2016 09,2016,arXiv:1608.06714,2016ApJ...828...15H,10.3847/0004-637X/828/1/15,{'deimos': 3}
The MOSDEF Survey: Measurements of Balmer Decrements and the Dust Attenuation Curve at Redshifts z ~ 1.4-2.6,Reddy N. | Kriek M. | Shapley A. | et. al.,ApJ 806 259,2015 06,2015,arXiv:1504.02782,2015ApJ...806..259R,10.1088/0004-637X/806/2/259,{'mosfire': 4}
A High-metallicity Host Environment for the Long-duration GRB 020819,Levesque E. | Kewley L. | Graham J.,ApJL 712 L26,2010 03,2010,arXiv:1001.0970,2010ApJ...712L..26L,10.1088/2041-8205/712/1/L26,{}
The DEEP2 Galaxy Redshift Survey: The Evolution of Void Statistics from z ~ 1 to z ~ 0,Conroy C. | Coil A. | White M. | et. al.,ApJ 635 990,2005 12,2005,arXiv:astro-ph/0508250,2005ApJ...635..990C,10.1086/497682,{'deimos': 2}
The neutral hydrogen cosmological mass density at z = 5,Crighton N. | Murphy M. | Prochaska J. | et. al.,MNRAS 452 217,2015 09,2015,arXiv:1506.02037,2015MNRAS.452..217C,10.1093/mnras/stv1182,{'esi': 7}
Dynamical Mass Constraints on Low-Mass Pre-Main-Sequence Stellar Evolutionary Tracks: An Eclipsing Binary in Orion with a 1.0 M<SUB>solar</SUB> Primary and a 0.7 M<SUB>solar</SUB> Secondary,Stassun K. | Mathieu R. | Vaz L. | et. al.,ApJS 151 357,2004 04,2004,arXiv:astro-ph/0312575,2004ApJS..151..357S,10.1086/382353,{}
